TIPO,ENTIDAD,EJERCICIO,ORGÁNICO,PROGRAMA,ECONÓMICO,IMPORTE
"G","10909",2015,"00","1611","10100",95000
"G","10909",2015,"00","1611","10101",24000
"G","10909",2015,"00","1611","13000",15875913
"G","10909",2015,"00","1611","13001",10759
"G","10909",2015,"00","1611","13002",3465759
"G","10909",2015,"00","1611","13100",434826
"G","10909",2015,"00","1611","16000",5444818
"G","10909",2015,"00","1611","16200",85504
"G","10909",2015,"00","1611","16205",361615
"G","10909",2015,"00","1611","16209",33000
"G","10909",2015,"00","1611","20300",400548
"G","10909",2015,"00","1611","20400",55000
"G","10909",2015,"00","1611","20600",2000
"G","10909",2015,"00","1611","20800",55222
"G","10909",2015,"00","1611","21200",1297905
"G","10909",2015,"00","1611","21300",7035112
"G","10909",2015,"00","1611","21600",495300
"G","10909",2015,"00","1611","21900",707529
"G","10909",2015,"00","1611","22000",35160
"G","10909",2015,"00","1611","22001",7400
"G","10909",2015,"00","1611","22100",6864905
"G","10909",2015,"00","1611","22101",1648979
"G","10909",2015,"00","1611","22102",3295184
"G","10909",2015,"00","1611","22103",105000
"G","10909",2015,"00","1611","22111",1076669
"G","10909",2015,"00","1611","22112",182430
"G","10909",2015,"00","1611","22199",3921077
"G","10909",2015,"00","1611","22200",155300
"G","10909",2015,"00","1611","22201",151112
"G","10909",2015,"00","1611","22204",98182
"G","10909",2015,"00","1611","22300",483312
"G","10909",2015,"00","1611","22401",45000
"G","10909",2015,"00","1611","22402",252000
"G","10909",2015,"00","1611","22500",226425
"G","10909",2015,"00","1611","22501",119700
"G","10909",2015,"00","1611","22502",1014775
"G","10909",2015,"00","1611","22602",179900
"G","10909",2015,"00","1611","22700",238475
"G","10909",2015,"00","1611","22701",534795
"G","10909",2015,"00","1611","22706",913842
"G","10909",2015,"00","1611","22799",2264172
"G","10909",2015,"00","1611","23120",17250
"G","10909",2015,"00","1611","31004",1348657
"G","10909",2015,"00","1611","35900",49000
"G","10909",2015,"00","1611","62200",1051307
"G","10909",2015,"00","1611","62300",7670884
"G","10909",2015,"00","1611","62400",145000
"G","10909",2015,"00","1611","62500",35000
"G","10909",2015,"00","1611","62600",1062040
"G","10909",2015,"00","1611","62700",133800
"G","10909",2015,"00","1611","64800",264984
"G","10909",2015,"00","1611","91300",4219839
"I","10909",2015,"00","","30000",38969718
"I","10909",2015,"00","","30400",25657594
"I","10909",2015,"00","","36400",4387987
"I","10909",2015,"00","","39910",981271
"I","10909",2015,"00","","52000",115997
"I","10909",2015,"00","","59902",5578798
"G","11000",2015,"00","9209","10100","83219,7"
"G","11000",2015,"00","9209","13000","422914,57"
"G","11000",2015,"00","9209","13001",400
"G","11000",2015,"00","9209","13002","123383,22"
"G","11000",2015,"00","9209","16000",121320
"G","11000",2015,"00","9209","16200",1000
"G","11000",2015,"00","9209","16205",67600
"G","11000",2015,"00","9209","16209",6700
"G","11000",2015,"00","9209","20200",1
"G","11000",2015,"00","9209","20400",1
"G","11000",2015,"00","9209","20500",5500
"G","11000",2015,"00","9209","21200",1
"G","11000",2015,"00","9209","21300",7810
"G","11000",2015,"00","9209","21400",2000
"G","11000",2015,"00","9209","22000",4000
"G","11000",2015,"00","9209","22001","6976,05"
"G","11000",2015,"00","9209","22100",6000
"G","11000",2015,"00","9209","22101",360
"G","11000",2015,"00","9209","22103",4200
"G","11000",2015,"00","9209","22104",1750
"G","11000",2015,"00","9209","22110",750
"G","11000",2015,"00","9209","22111",3000
"G","11000",2015,"00","9209","22201",400
"G","11000",2015,"00","9209","22204",350
"G","11000",2015,"00","9209","22300",100
"G","11000",2015,"00","9209","22401",3300
"G","11000",2015,"00","9209","22502",16100
"G","11000",2015,"00","9209","22601",1
"G","11000",2015,"00","9209","22603",5000
"G","11000",2015,"00","9209","22699",6775
"G","11000",2015,"00","9209","22700",1
"G","11000",2015,"00","9209","22701",1
"G","11000",2015,"00","9209","23000",1000
"G","11000",2015,"00","9209","23010",1000
"G","11000",2015,"00","9209","23020",500
"G","11000",2015,"00","9209","23100",1000
"G","11000",2015,"00","9209","23110",1500
"G","11000",2015,"00","9209","23120",500
"G","11000",2015,"00","9209","23300",5000
"G","11000",2015,"00","9261","13000","4525263,22"
"G","11000",2015,"00","9261","13001",2000
"G","11000",2015,"00","9261","13002","1119129,84"
"G","11000",2015,"00","9261","16000",1265000
"G","11000",2015,"00","9261","16200",21000
"G","11000",2015,"00","9261","20600","488935,11"
"G","11000",2015,"00","9261","20900",17000
"G","11000",2015,"00","9261","21600","573173,92"
"G","11000",2015,"00","9261","21900",8000
"G","11000",2015,"00","9261","22002",22000
"G","11000",2015,"00","9261","22112",25750
"G","11000",2015,"00","9261","22199",40000
"G","11000",2015,"00","9261","22200","709030,51"
"G","11000",2015,"00","9261","22203","290369,28"
"G","11000",2015,"00","9261","22402",8000
"G","11000",2015,"00","9261","22706",77000
"G","11000",2015,"00","9261","22799",15000
"G","11000",2015,"00","9261","23020",3000
"G","11000",2015,"00","9261","23120",3000
"G","11000",2015,"00","9261","62600",105000
"G","11000",2015,"00","9261","64100",480000
"G","11000",2015,"00","9291","83002",10
"I","11000",2015,"00","","32901",2000
"I","11000",2015,"00","","39900",10
"I","11000",2015,"00","","40000","10117056,42"
"I","11000",2015,"00","","52000",5000
"I","11000",2015,"00","","70000",585000
"I","11000",2015,"00","","83003",10
"G","19910",2015,"00","1712","13000","531328,76"
"G","19910",2015,"00","1712","15000",21517
"G","19910",2015,"00","1712","16000","178372,4"
"G","19910",2015,"00","1712","16008",2700
"G","19910",2015,"00","1712","16202",18810
"G","19910",2015,"00","1712","16204",1125
"G","19910",2015,"00","1712","16205",11676
"G","19910",2015,"00","1712","16206",2700
"G","19910",2015,"00","1712","16400","3876,43"
"G","19910",2015,"00","1712","20300",3500
"G","19910",2015,"00","1712","21300",6000
"G","19910",2015,"00","1712","21400",1000
"G","19910",2015,"00","1712","22001",500
"G","19910",2015,"00","1712","22100",60000
"G","19910",2015,"00","1712","22101",5000
"G","19910",2015,"00","1712","22103",5000
"G","19910",2015,"00","1712","22104",2000
"G","19910",2015,"00","1712","22111",2000
"G","19910",2015,"00","1712","22199",31000
"G","19910",2015,"00","1712","22401",2000
"G","19910",2015,"00","1712","22502",250
"G","19910",2015,"00","1712","22602",3000
"G","19910",2015,"00","1712","22700",22000
"G","19910",2015,"00","1712","22701",140000
"G","19910",2015,"00","1712","22706",2000
"G","19910",2015,"00","1712","22799",105000
"G","19910",2015,"00","1712","48900","1586,42"
"G","19910",2015,"00","9209","13000","216830,43"
"G","19910",2015,"00","9209","15000","7521,4"
"G","19910",2015,"00","9209","16000","68640,51"
"G","19910",2015,"00","9209","16008",900
"G","19910",2015,"00","9209","16202",6270
"G","19910",2015,"00","9209","16204",375
"G","19910",2015,"00","9209","16205",4008
"G","19910",2015,"00","9209","16206",900
"G","19910",2015,"00","9209","16400","685,92"
"G","19910",2015,"00","9209","21600",1500
"G","19910",2015,"00","9209","22000",2000
"G","19910",2015,"00","9209","22002",500
"G","19910",2015,"00","9209","22201",500
"G","19910",2015,"00","9209","22203",250
"G","19910",2015,"00","9209","22204",500
"G","19910",2015,"00","9209","22601",1000
"G","19910",2015,"00","9209","22603",500
"G","19910",2015,"00","9209","23020",500
"G","19910",2015,"00","9209","23120",500
"G","19910",2015,"00","9209","83002",1
"G","19910",2015,"00","9209","83102",1
"I","19910",2015,"00","","30903",150000
"I","19910",2015,"00","","33900",188000
"I","19910",2015,"00","","33902",4926
"I","19910",2015,"00","","33904","8763,84"
"I","19910",2015,"00","","40000","1126058,43"
"I","19910",2015,"00","","52000",75
"I","19910",2015,"00","","83003",1
"I","19910",2015,"00","","83103",1
"G","20010",2015,"00","0111","31004","411908,77"
"G","20010",2015,"00","0111","35200",125000
"G","20010",2015,"00","0111","91300","2087383,98"
"G","20010",2015,"00","1501","10100","8583,34"
"G","20010",2015,"00","1501","13000","3174510,56"
"G","20010",2015,"00","1501","13002","472310,5"
"G","20010",2015,"00","1501","13100","5,73"
"G","20010",2015,"00","1501","13700","5,73"
"G","20010",2015,"00","1501","16000","932659,25"
"G","20010",2015,"00","1501","16200","5729,45"
"G","20010",2015,"00","1501","16201","13604,36"
"G","20010",2015,"00","1501","16202","5,73"
"G","20010",2015,"00","1501","16204","38247,81"
"G","20010",2015,"00","1501","16205","5,73"
"G","20010",2015,"00","1501","21000",65000
"G","20010",2015,"00","1501","21200",55000
"G","20010",2015,"00","1501","21300",17000
